"Country","event_clarity","date_prec","year","longtitude","latitude"
"Myanmar (Burma)",1,1,2015,97.681672,23.836011
"Myanmar (Burma)",1,1,2008,98.0,22.0
"Myanmar (Burma)",1,1,2013,96.711667,25.523056
"Myanmar (Burma)",1,1,2013,98.0,22.0
"Myanmar (Burma)",1,1,2011,97.75,17.5
"Myanmar (Burma)",1,1,1997,97.82099,21.929133
"Myanmar (Burma)",1,1,1994,98.0,22.0
"Myanmar (Burma)",1,1,1997,98.0,22.0
"Myanmar (Burma)",1,1,2010,97.5,19.25
"Myanmar (Burma)",2,5,1995,97.5,19.25
"Myanmar (Burma)",1,1,2001,97.5,19.25
"Myanmar (Burma)",1,1,2014,97.445,18.064
"Myanmar (Burma)",1,1,2006,98.0,22.0
"Myanmar (Burma)",1,1,2002,98.0,22.0
"Myanmar (Burma)",1,1,2015,98.934444,20.294722
"Myanmar (Burma)",1,1,2015,97.71672,20.89184
"Myanmar (Burma)",2,2,2015,98.0,22.0
"Myanmar (Burma)",1,1,2015,97.71672,20.89184
"Myanmar (Burma)",1,1,2015,97.483797,20.928447
"Myanmar (Burma)",1,1,1993,98.238231,16.554022
"Myanmar (Burma)",1,1,2008,96.784708,18.911781
"Myanmar (Burma)",1,1,1994,97.737339,16.023264
"Myanmar (Burma)",1,1,2006,97.937993,23.457894
"Myanmar (Burma)",1,1,2009,97.668024,21.272245
"Myanmar (Burma)",2,4,2009,97.668024,21.272245
"Myanmar (Burma)",1,1,2003,97.15,18.816667
"Myanmar (Burma)",1,1,2006,97.15,18.816667
"Myanmar (Burma)",1,1,1989,97.654406,18.640867
"Myanmar (Burma)",1,1,1994,97.75,16.25
"Myanmar (Burma)",1,1,2004,99.25,20.533333
"Myanmar (Burma)",1,1,2006,98.0,22.0
"Myanmar (Burma)",1,1,2010,98.506111,16.686389
"Myanmar (Burma)",1,1,2010,98.0,22.0
"Myanmar (Burma)",1,5,1990,97.274696,17.1325
"Myanmar (Burma)",1,4,1990,97.7,17.7
"Myanmar (Burma)",1,1,1989,97.5,26.0
"Myanmar (Burma)",1,1,2015,97.358798,23.960382
"Myanmar (Burma)",1,1,2015,97.563889,20.925
"Myanmar (Burma)",1,1,2015,97.455961,20.812943
"Myanmar (Burma)",2,5,2012,97.937993,23.457894
"Myanmar (Burma)",1,1,2006,96.755197,19.089042
